AccID,Details,Bill $,Timestamp
84088005,Purchased travel insurance.,4394.7,9/5/2023
55225907,Bought textbooks for university.,269.6,6/10/2023
76731855,Paid for online shopping order.,396.7,7/10/2023
89001299,Electricity bill payment.,292.82,8/22/2024
31782303,Had dinner at an Italian restaurant.,81.16,8/20/2023
51802809,Purchased government bonds.,2120.68,9/26/2023
76839955,Gas bill payment for the household.,120.77,9/12/2023
34507091,Bought electronics and accessories.,307.16,6/9/2023
26519677,Purchased home decor items.,160.06,3/4/2025
48858891,Bought groceries from the local supermarket.,182.73,2/22/2025
38286381,Had dinner at an Italian restaurant.,27.28,5/10/2023
25663207,Monthly rent payment processed.,1800.96,1/28/2024
36560486,Topped up public transport card.,22.71,1/11/2024
45829271,Mortgage payment for the house.,2699.59,2/20/2025
57899034,Gas bill payment for the household.,186.86,3/23/2024
93074425,Topped up public transport card.,26.72,5/9/2023
80282542,Electricity bill payment.,114.13,7/10/2024
66127596,Spent on weekly grocery shopping.,41.04,7/25/2024
55972605,Enjoyed a meal at a local diner.,39.28,6/2/2024
63051052,Paid for a ride-sharing service.,27.08,3/3/2025
67454716,Paid for a ride-sharing service.,26.65,2/14/2024
63731623,Paid for a ride-sharing service.,23.12,11/12/2024
29096577,Salary credited to the bank account.,6895.38,10/13/2023
41179541,Mortgage payment for the house.,1928.25,5/14/2024
40530918,Bought a train ticket for daily commute.,3.28,6/11/2023
70377192,Bought movie tickets for an evening show.,50.67,6/26/2023
44314781,Paid for car fuel at a gas station.,29.49,7/25/2023
41001998,Subscribed to an online streaming service.,71.38,6/2/2023
83766958,Paid for water and sewage services.,163.88,10/12/2023
16561834,Paid for car fuel at a gas station.,29.8,10/8/2023
44691940,Lunch at a fast food outlet.,25.06,7/9/2023
24477144,Enjoyed a meal at a local diner.,47.26,1/12/2024
34467106,Spent on weekly grocery shopping.,114.53,7/28/2023
94142462,Bought electronics and accessories.,284.57,6/9/2024
22855267,Paid for online shopping order.,130.76,11/9/2024
29225438,Purchased fresh vegetables and dairy products.,44.64,10/11/2023
62261923,Bought groceries from the local supermarket.,29.19,4/15/2023
92753329,Hotel accommodation payment processed.,2513.71,3/29/2024
88222802,Gas bill payment for the household.,230.33,2/3/2025
17297980,Paid for a professional certification exam.,788.67,12/2/2023
34818288,"Bought fruits, bread, and household essentials.",103.99,5/21/2024
40480996,Spent on weekly grocery shopping.,55.82,3/6/2024
34588329,Spent on weekly grocery shopping.,129.62,11/13/2023
90198153,Paid for a ride-sharing service.,5.95,7/12/2024
46369876,Bought a train ticket for daily commute.,30.2,5/8/2023
34563111,Bought prescription medicines from pharmacy.,207.69,8/6/2024
89702009,Purchased travel insurance.,2937.44,8/13/2023
51576493,Settled monthly internet subscription.,82.19,10/27/2023
39134793,Bought groceries from the local supermarket.,30.7,4/14/2023
92477175,Manicure and pedicure service payment.,14.08,3/31/2024
70944597,Monthly car loan installment paid.,1458.94,11/1/2023
91451416,Paid for a concert ticket.,75.98,2/26/2025
20261450,Bought electronics and accessories.,74.73,6/3/2024
42391276,Bought a train ticket for daily commute.,39.61,9/11/2024
12530515,Paid for water and sewage services.,257.55,4/2/2023
88375518,Topped up public transport card.,11.96,3/16/2025
18247265,Settled monthly internet subscription.,218.33,1/22/2024
67518840,Gas bill payment for the household.,154.06,6/13/2023
46024372,Monthly car loan installment paid.,637.74,1/19/2024
17861923,Bought movie tickets for an evening show.,137.97,1/20/2025
39185586,Spent on weekly grocery shopping.,109.28,8/27/2023
48713303,Bought electronics and accessories.,44.38,9/8/2023
65436315,Had dinner at an Italian restaurant.,29.13,9/3/2023
66409338,Enjoyed a meal at a local diner.,45.22,6/23/2024
66230764,Bonus payment from employer.,6257.51,9/5/2023
94960524,Purchased fresh vegetables and dairy products.,193.04,8/26/2024
43014029,Bought movie tickets for an evening show.,89.7,1/12/2024
91325222,Spent on weekly grocery shopping.,163.82,8/30/2024
77596793,Bought electronics and accessories.,261.15,10/27/2023
52832627,Credit card bill installment settled.,614.46,11/23/2024
93296489,Paid for online course enrollment.,1529.39,6/21/2024
68265521,Invested in a fixed deposit plan.,865.55,8/2/2024
20411680,Bought groceries from the local supermarket.,24.74,9/23/2024
91693393,Purchased travel insurance.,1130.27,2/17/2024
16662567,Monthly rent payment processed.,2114.11,12/25/2024
48820275,Dividend earnings from investments.,8179.44,12/19/2023
41672408,"Bought fruits, bread, and household essentials.",198.8,6/30/2024
92209781,Paid for car fuel at a gas station.,37.64,3/13/2024
63421699,Paid for coffee and snacks at a cafe.,88.88,9/3/2024
50139179,Paid for car fuel at a gas station.,8.94,9/27/2024
46442084,Doctor consultation fee paid.,388.18,4/2/2023
76321640,Paid for a concert ticket.,90.76,12/24/2023
90073703,Mortgage installment payment processed.,163.22,12/30/2024
14314515,Spent on weekly grocery shopping.,24.48,10/10/2024
45085278,Paid for dental treatment.,37.16,12/5/2023
89380098,Underwent medical check-up at a clinic.,246.96,12/17/2023
19860857,Bought company shares in stock market.,2965.36,8/14/2023
38403519,Mortgage installment payment processed.,335.64,3/24/2024
83663317,Paid for water and sewage services.,57.23,5/6/2023
34898135,Paid for coffee and snacks at a cafe.,33.31,9/3/2023
21050325,Bought prescription medicines from pharmacy.,23.98,7/8/2024
86235657,Transferred funds to savings account.,358.45,4/23/2024
45479723,Paid for coffee and snacks at a cafe.,67.37,4/24/2024
14191459,Bought movie tickets for an evening show.,121.74,7/1/2023
19274567,Bought groceries from the local supermarket.,19.72,8/6/2024
51488158,Paid for car fuel at a gas station.,16.4,1/20/2024
34894563,Spent on weekly grocery shopping.,101.54,3/25/2023
68485703,Purchased home decor items.,236.83,4/15/2024
53437068,Settled monthly internet subscription.,75.92,8/25/2024
72966341,Had dinner at an Italian restaurant.,88.35,10/11/2023
38266383,Mutual fund investment transaction.,4186.97,10/15/2024
15410869,Paid for a haircut at a salon.,30.16,11/12/2023
62261818,Topped up public transport card.,16.25,12/5/2024
28506434,Underwent medical check-up at a clinic.,253.14,9/21/2024
49548446,"Bought fruits, bread, and household essentials.",74.24,8/22/2024
