AccID,Details,Bill $,TimeStamp
39687866,Paid for car fuel at a gas station.,18.18,30/06/2023
41335228,Bought company shares in stock market.,3994.59,2/7/2023
58879296,Purchased fresh vegetables and dairy products.,30.92,16/07/2024
31236817,Paid for car rental services.,3647.37,19/09/2024
13214974,Mortgage installment payment processed.,1563.19,21/09/2023
36743822,Paid for online shopping order.,266.16,9/11/2024
15936466,Topped up public transport card.,38.75,17/09/2023
47926938,Purchased grooming essentials.,94.74,22/03/2023
36631411,Topped up public transport card.,5.55,16/10/2023
19484813,Settled utility bills for the apartment.,2128.45,8/9/2023
48716845,Purchased fresh vegetables and dairy products.,157.44,20/08/2024
44400456,Enjoyed a meal at a local diner.,68.02,25/06/2023
44231314,Purchased travel insurance.,3909.44,14/07/2024
18841751,Spent on weekly grocery shopping.,31.08,15/11/2023
24374806,Topped up public transport card.,40.72,14/11/2023
56742077,Electricity bill payment.,250.36,18/11/2023
52766683,Visited an amusement park.,29.32,8/11/2023
41617228,Bought prescription medicines from pharmacy.,161.92,27/08/2023
18699343,Paid for coffee and snacks at a cafe.,39.36,19/07/2023
30392724,Purchased fresh vegetables and dairy products.,39.28,2/5/2024
17502522,Bought prescription medicines from pharmacy.,382.98,17/09/2024
27386561,Paid for a ride-sharing service.,42.21,9/4/2023
32809375,Monthly rent payment processed.,872.62,11/12/2024
22784983,"Bought fruits, bread, and household essentials.",12.02,13/01/2024
46186190,Manicure and pedicure service payment.,23.63,27/12/2023
50506300,Paid for a professional certification exam.,1333.76,29/10/2023
12909704,Manicure and pedicure service payment.,37.62,17/08/2023
60522573,Paid for a ride-sharing service.,30.32,26/05/2024
47441603,Tuition fee payment for the semester.,1752.69,8/3/2025
14010290,Enjoyed a meal at a local diner.,19.67,13/04/2023
48401607,Bought movie tickets for an evening show.,62.5,11/3/2024
61729833,Paid for a ride-sharing service.,3.23,3/4/2023
29837173,Purchased clothing from a retail store.,81.34,13/07/2023
34461207,Paid for a haircut at a salon.,66.34,7/11/2024
62959701,Paid for car fuel at a gas station.,30.49,8/2/2025
21221229,Paid for coffee and snacks at a cafe.,22.66,18/12/2023
30856301,Lunch at a fast food outlet.,50.52,6/2/2025
40830554,Bought a train ticket for daily commute.,41.03,2/12/2024
59137165,Electricity bill payment.,129.12,5/3/2025
33368035,Spent on weekly grocery shopping.,56.38,14/08/2023
16094513,"Bought fruits, bread, and household essentials.",125.8,13/04/2023
65146418,Underwent medical check-up at a clinic.,320.88,4/12/2023
42558108,Paid for car rental services.,2588.43,28/10/2024
49414609,Paid for car fuel at a gas station.,16.29,6/8/2023
34298411,Bought electronics and accessories.,399.04,25/01/2024
16481799,Purchased home decor items.,165.36,13/05/2024
53886459,Had dinner at an Italian restaurant.,32.76,8/11/2023
39332788,Paid for coffee and snacks at a cafe.,76.13,22/01/2025
46037088,Purchased clothing from a retail store.,236.3,29/09/2023
31006781,Underwent medical check-up at a clinic.,244.42,7/3/2024
54074534,Paid for a ride-sharing service.,32.09,15/08/2024
54408129,Paid for coffee and snacks at a cafe.,94.83,22/03/2024
54486828,Bought a train ticket for daily commute.,9.66,23/05/2024
45127884,Paid for water and sewage services.,220.01,1/3/2025
34779087,Subscribed to an online streaming service.,63.03,1/6/2023
14553825,Paid for a ride-sharing service.,31.94,27/12/2024
37509473,Purchased fresh vegetables and dairy products.,188.5,15/04/2023
17877294,Spent on weekly grocery shopping.,142.17,23/02/2025
60581201,Paid for online course enrollment.,1084.71,23/08/2024
51746883,Paid for a ride-sharing service.,20.54,26/04/2024
57227654,Bought groceries from the local supermarket.,148.33,23/07/2023
47408608,Salary credited to the bank account.,4053.11,11/9/2023
38751899,Tuition fee payment for the semester.,1219.07,10/11/2023
15941120,Purchased home decor items.,151.05,3/8/2023
31054729,Paid for coffee and snacks at a cafe.,40.81,30/09/2023
46339816,Topped up public transport card.,3.1,27/11/2023
32645943,Bought groceries from the local supermarket.,60.12,15/03/2025
43401311,Lunch at a fast food outlet.,66.17,28/11/2023
21979927,Paid for a ride-sharing service.,10.12,17/09/2023
51008269,Spent on weekly grocery shopping.,147.01,13/07/2024
64130652,"Bought fruits, bread, and household essentials.",59.56,7/9/2024
39428431,Had dinner at an Italian restaurant.,85.43,8/9/2023
43428451,Transferred funds to savings account.,667.61,26/03/2023
61436869,Hotel accommodation payment processed.,1661.55,19/07/2024
58565543,Bought groceries from the local supermarket.,184.61,11/10/2024
49331643,Booked flight tickets for vacation.,2558.32,19/12/2023
13110275,Visited an amusement park.,65.34,26/08/2024
64204267,Paid for a haircut at a salon.,94.17,3/4/2024
16955751,Doctor consultation fee paid.,483.96,31/12/2023
48736878,Manicure and pedicure service payment.,84.22,13/03/2024
34863589,Spent on weekly grocery shopping.,23.8,8/1/2025
64535569,Purchased home decor items.,314.92,9/6/2023
36711271,Underwent medical check-up at a clinic.,91.8,26/06/2023
37077322,Deposited money into an emergency fund.,413.21,16/10/2024
61799273,Paid for online course enrollment.,558.72,6/1/2024
60251207,Purchased fresh vegetables and dairy products.,45.55,20/06/2024
20539429,Paid for a professional certification exam.,60.48,17/05/2024
38598088,Bought a train ticket for daily commute.,28.65,20/02/2024
24471950,"Bought fruits, bread, and household essentials.",129.35,11/4/2024
43101139,Paid for water and sewage services.,152.33,20/12/2023
63460551,Salary credited to the bank account.,8363.25,22/12/2023
38948872,Bought a train ticket for daily commute.,34.16,11/3/2024
26511889,Purchased grooming essentials.,56.89,21/12/2024
26512660,Bought textbooks for university.,516.04,27/08/2024
60962742,Credit card bill installment settled.,1667.89,20/02/2025
28477879,Bought groceries from the local supermarket.,70.53,20/08/2024
51981091,Mortgage payment for the house.,2943.81,17/10/2023
36596321,Bought movie tickets for an evening show.,75.06,21/05/2024
54743199,Had dinner at an Italian restaurant.,51.18,19/09/2023
25741763,Hotel accommodation payment processed.,3191.02,11/7/2024
43576178,Tuition fee payment for the semester.,84.57,17/09/2023
40973783,Purchased fresh vegetables and dairy products.,39.11,21/08/2024
64716369,Bought groceries from the local supermarket.,130.99,11/5/2023
52210976,Bought a train ticket for daily commute.,23.76,28/12/2024
16261642,Monthly rent payment processed.,1602.05,23/09/2023
18350397,Received freelance project payment.,8959.11,16/03/2025
60871778,Bought groceries from the local supermarket.,121.75,12/5/2023
18918663,Manicure and pedicure service payment.,93.39,19/09/2023
62359649,Purchased fresh vegetables and dairy products.,178.24,5/1/2024
47294118,Spent on weekly grocery shopping.,34.77,27/08/2023
15846959,Paid for a ride-sharing service.,6.41,30/08/2023
56165598,Paid for online course enrollment.,1040.53,5/6/2023
23883598,Bought a train ticket for daily commute.,39.37,2/11/2024
28524829,Invested in a fixed deposit plan.,140.26,20/12/2024
49328812,Purchased fresh vegetables and dairy products.,124.41,1/10/2024
32034909,Purchased fresh vegetables and dairy products.,167.64,1/6/2024
24641130,Visited an amusement park.,121.89,30/12/2024
33578826,Purchased fresh vegetables and dairy products.,196.75,27/02/2024
14735600,"Bought fruits, bread, and household essentials.",114.35,25/05/2023
34577391,Bought a train ticket for daily commute.,32.68,7/9/2024
59646519,Topped up public transport card.,46.2,2/12/2024
55878688,Spent on weekly grocery shopping.,145.41,24/03/2023
26881285,Monthly rent payment processed.,2198.9,18/05/2024
43596799,Electricity bill payment.,157.46,25/08/2023
48536918,Paid for online course enrollment.,453.93,29/08/2024
37053585,Paid for a ride-sharing service.,35.93,15/10/2023
63875794,Subscribed to an online streaming service.,146.39,24/01/2025
60489371,Paid for water and sewage services.,184.76,18/03/2024
24299821,Booked flight tickets for vacation.,1663.54,26/10/2023
15621564,Paid for online shopping order.,492.49,16/07/2023
42517304,Purchased travel insurance.,1952.19,25/10/2024
14665513,Gas bill payment for the household.,187.01,20/12/2024
50794073,Monthly rent payment processed.,1852.83,26/04/2023
48887853,Bought movie tickets for an evening show.,26.3,12/2/2024
23995009,Bought company shares in stock market.,3547.19,2/2/2024
41012383,Gas bill payment for the household.,179.31,18/06/2023
23402479,Dividend earnings from investments.,3173.12,17/09/2024
13534189,Bought a train ticket for daily commute.,49.55,19/09/2024
41035808,Paid for a ride-sharing service.,7.84,27/03/2024
57008458,Paid for a ride-sharing service.,39.56,6/12/2023
45525008,Settled monthly internet subscription.,289.78,18/02/2025
13548798,Bought electronics and accessories.,137.67,4/2/2025
29241927,Monthly rent payment processed.,855.1,17/07/2024
19120880,Settled monthly internet subscription.,275.86,3/12/2023
54238123,Lunch at a fast food outlet.,88.79,5/6/2023
51494074,Visited an amusement park.,103.6,14/12/2023
32130951,Purchased government bonds.,1220.66,10/9/2023
59054244,Bought a train ticket for daily commute.,39.96,25/09/2024
36383769,Bought skincare products from a beauty store.,51.31,4/1/2024
34565877,Paid for car fuel at a gas station.,26.58,8/4/2023
63159283,Paid for water and sewage services.,139.14,26/12/2024
59955092,Dividend earnings from investments.,3188.93,21/08/2023
44716212,Paid for car rental services.,2107.01,24/05/2023
20865917,Paid for a haircut at a salon.,28.73,8/8/2023
48470467,Enjoyed a meal at a local diner.,6.42,17/07/2023
23487987,Settled monthly internet subscription.,128.98,19/01/2024
26136850,Bought groceries from the local supermarket.,114.14,15/08/2023
26504764,Paid for a ride-sharing service.,47.74,12/2/2025
63624688,Doctor consultation fee paid.,36.26,19/12/2024
40597080,Had dinner at an Italian restaurant.,99.43,17/04/2023
35389198,Paid for a ride-sharing service.,34.9,29/05/2023
36699277,Bought a train ticket for daily commute.,13.65,26/07/2023
43665420,Bought groceries from the local supermarket.,46.23,25/03/2024
26734007,Paid for a ride-sharing service.,26.34,17/06/2023
61156236,Bought textbooks for university.,426.63,26/12/2023
55585659,Bought prescription medicines from pharmacy.,252.17,17/06/2023
